keys,en
lorem_ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque porttitor ornare lorem, non lobortis sem eleifend at. Donec euismod ullamcorper est sed eleifend. In non magna nisl. Nulla blandit elit dolor, in eleifend nibh tincidunt eu. Cras iaculis orci et felis rhoncus tempor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nam ut suscipit diam. Sed luctus laoreet nisl id tincidunt. Phasellus congue, urna a placerat posuere, ex metus pellentesque velit, vel pretium eros neque quis enim. Vivamus elementum scelerisque urna sit amet tristique. Vestibulum elementum massa quis diam accumsan semper. Aenean accumsan odio at hendrerit dignissim."
lorem_ipsum2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque porttitor ornare lorem, non lobortis sem eleifend at. Donec euismod ullamcorper est sed eleifend. In non magna nisl. Nulla blandit elit dolor, in eleifend nibh tincidunt eu. Cras iaculis orci et felis rhoncus tempor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nam ut suscipit diam. Sed luctus laoreet nisl id tincidunt. Phasellus congue, urna a placerat posuere, ex metus pellentesque velit, vel pretium eros neque quis enim. Vivamus elementum scelerisque urna sit amet tristique. Vestibulum elementum massa quis diam accumsan semper. Aenean accumsan odio at hendrerit dignissim."
lorem_ipsum3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque porttitor ornare lorem, non lobortis sem eleifend at. Donec euismod ullamcorper est sed eleifend. In non magna nisl. Nulla blandit elit dolor, in eleifend nibh tincidunt eu. Cras iaculis orci et felis rhoncus tempor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nam ut suscipit diam. Sed luctus laoreet nisl id tincidunt. Phasellus congue, urna a placerat posuere, ex metus pellentesque velit, vel pretium eros neque quis enim. Vivamus elementum scelerisque urna sit amet tristique. Vestibulum elementum massa quis diam accumsan semper. Aenean accumsan odio at hendrerit dignissim."
shop_armor_desc,[font size=5]Trinket Armor: Reduce 1 incoming damage per armor.
shop_bandaid_desc,[font size=5]Trinket Bandaid: Heal 1 Heart per bandaud when entering a shop.
shop_bubble_desc,Weapon Bubble: Shoot bubbles to capture enemies and push them back. Deals damage when popped. Aims at random targets.
shop_flail_desc,Weapon Flail: Hit enemies in an arc around you. Aims at the closest enemy if possible.
shop_glasses_desc,"Trinket Shades: Look cool and stylish whit these [rainbow]RAD[/rainbow] shades! Oh and, something, something, critical bonuses."
shop_heart_desc,[font size=7]Gain a [color=red]Heart[/color] permanantly.
shop_knife_desc,[font size=5]Weapon Knives: Throw knives at enemies. Will target enemies in range.
